id_cuadra,direccion,cant_espacios
2,General Pinto 545,29
3,San Marti­n 452,14
4,Rodriguez 552,15
5,9 de Julio 441,16
6,General Pinto 759,9
7,San Marti­n 758,12
8,Sarmiento 641,12
9,San Marti­n 560,12
10,Rodriguez 654,11
11,San Martin 658,22
12,Belgrano 480,26
13,General Pinto 343,29
14,Rodriguez 464,29
15,General Pinto 631,13
16,San Marti­n 852,12
17,Belgrano 660,20
19,Sarmiento 543,12
20,General Pinto 490,11
21,Belgrano 540,28
22,Belgrano 768,10
23,Belgrano 364,10
24,Belgrano 868,20
25,Belgrano 958,14
26,9 de Julio 345,10
27,General Pinto 843,18
28,General Pinto 945,15
29,San Marti­n 364,33
30,San Marti­n 944,17
31,Sarmiento 351,23
32,Sarmiento 453,27
33,Sarmiento 755,16
34,Sarmiento 849,15
35,Sarmiento 945,15
36,Mitre 758,13
37,Mitre 846,15
38,Mitre 948,21
39,Chacabuco 442,41
40,Mitre 348,29
41,Mitre 446,23
42,Mitre 552,13
43,Mitre 648,17
44,Alem 362,30
45,Alem 480,21
46,Alem 556,17
47,Alem 658,14
48,Alem 770,14
49,Alem 852,14
50,9 de Julio 549,0
51,Chacabuco 562,29
52,Chacabuco 646,28
53,Chacabuco 752,26
54,Chacabuco 852,26
55,14 de Julio 467,16
56,Yrigoyen 557,31
57,Yrigoyen 753,30
58,Yrigoyen 847,33
59,Yrigoyen 655,35
60,Fuerte Independencia 349,28
61,Chacabuco 357,19
62,9 de Julio 753,15
63,9 de Julio 843,13
64,Rodriguez 348,13
65,Rodriguez 746,15
66,Rodriguez 846,15
67,14 de Julio 347,27
68,14 de Julio 557,15
69,14 de Julio 657,13
70,14 de Julio 767,26
71,14 de Julio 847,27
72,Maipu 453,29
73,Maipu 547,33
74,Maipu 653,32
75,Maipu 333,38
76,Maipu 741,38
77,Maipu 857,31
78,Maipu 953,28
79,General Paz 347,28
80,General Paz 447,36
81,General Paz 547,11
82,General Paz 647,16
83,General Paz 739,17
84,General Paz 845,14
85,Av. Espana 359,14
86,Av. Espana 481,13
87,Av. Espana 545,10
88,Av. Espana 647,17
89,Av. Espana 737,17
90,Av. Espana 843,11
91,Av. Espana 957,15
